target_name	program_name	log2FC	p-value	adj_pval
Igf1_2	1	-0.025898450238019798	0.8439947382106074	0.7684248318126035
Ikbkb	1	0.06630372333063826	0.03555913513714218	0.21379441980034247
Ilrun	1	0.04905494852142158	0.08319697233177126	0.33243341050095143
Insig1	1	-0.6169152992632743	1.1214841314034167e-32	4.434946254223959e-30
Insr	1	0.43486716299993405	2.7185642538167236e-24	6.035454121864539e-22
Ip6k1	1	-0.09552373916906866	0.18691426053518723	0.46893491053186365
Irs1	1	0.16366033062697014	3.0353614918489235e-06	0.00011534835177536725
Irs2	1	0.012931968859222319	0.3777326262394394	0.6096594888769127
Jund	1	-0.053888287552970725	0.48302910654367753	0.6629759350029801
Lcat	1	-0.07231420553061442	0.30689392947487615	0.5699866763902643
Ldlr	1	-0.18746743772831778	1.967212299561319e-05	0.0006302303911665826
Leng1	1	0.117628180098336	0.0007008981430473363	0.013520609712541069
Leng8	1	-0.08153908041911401	0.2269047425541347	0.5084409244991887
Lipa	1	-0.034688290044584985	0.9841620123965235	0.7943145946867357
Llgl1	1	0.007808683918147685	0.336609876482587	0.5901401041432257
Lmf1	1	-0.004852004791541957	0.5351861624124373	0.681627869747426
Lyplal1	1	-0.015022036684548159	0.765257260119432	0.7519659044992735
Lyrm4_1	1	-0.003615272466206978	0.6964594644961688	0.7355492142971573
Lyrm4_2	1	-0.028593044896832086	0.8770685245837474	0.7754426915723471
Map3k5	1	0.05722205332636771	0.05838539693980674	0.2791229217166528
Mast3_1	1	-0.06807012429680348	0.28664605660805303	0.5576271070081874
Mast3_2	1	-0.025439479469754417	0.8056500177627268	0.760271455953227
Mau2	1	-0.021826446657893465	0.8427024700699666	0.7681781109866651
Mboat7	1	-0.05060875554750736	0.6605048698516494	0.7262127100013313
Mbtps1	1	0.06341995647061939	0.040061355424392674	0.2269277864216985
Mertk	1	-0.04336652820051712	0.8179046058085366	0.7634001321982
Metap1	1	-0.0524653396981971	0.6164913543886372	0.7110843617672449
Mlxipl_1	1	0.3085659984176722	6.228091021417236e-19	9.059013460708125e-17
Mlxipl_2	1	0.17764989756958996	5.781828785988514e-07	2.4802097910360077e-05
Mon1a	1	-0.023263641599570787	0.8609227454140941	0.7718172107909872
Mst1	1	-0.019994801926388257	0.8253667554169732	0.7647241376671158
Mtarc1	1	-0.08691181167599243	0.19918689758762406	0.4803910523538256
Mtarc2	1	-0.006185554224718004	0.7850380882530346	0.7561931277504018
Mtor	1	0.014004213039212567	0.2686667729650688	0.5439752596545988
Mttp	1	0.05445015548051031	0.03560992117411277	0.21379441980034247
Myadm_1	1	-0.05313623499255568	0.5495382549311463	0.6869949179293108
Myadm_2	1	0.0822684805450025	0.020377679306270963	0.15484391027882624
Nampt	1	-0.020927287413987375	0.8330665722422759	0.7663117672687068
Nars	1	-0.05833566359051403	0.551437101521523	0.6875716108836489
Nars2	1	-0.04485893306639582	0.7040265803784934	0.7381811915952978
Ndufa13	1	0.02134925028459472	0.20510386365779376	0.48635077109927966
Ndufa3	1	-0.07774297921798438	0.31754974530724633	0.578108941825235
Nectin2	1	0.04370351736777695	0.06919349181862791	0.3025818269435382
Nfe2l2	1	0.19286349236900766	5.956599881173637e-07	2.5465483365466665e-05
Nfib_1	1	-0.057213997737096164	0.3064922769471844	0.5698374116085883
Nfib_2	1	-0.12667632129038164	0.02885575641447124	0.18947536274535712
Nfkb1	1	-0.12706987765812325	0.03493885877742667	0.21270281354435067
Ngly1	1	-0.08570506187034048	0.32455442079489166	0.5823028370528023
Nlrp12_1	1	-0.09203424102255436	0.21724374446578543	0.4977431060312946
Nlrp12_2	1	0.028501379355957788	0.2379145187358764	0.5189056838603836
Non-Targeting	1	-0.00040158841941212274	0.8945949006195117	0.7780656193043006
Nr1h4_1	1	-0.008816201306940767	0.7376090316800213	0.7467269798547972
Nr1h4_2	1	-0.04247780534532071	0.8316782686577315	0.7662334959456079
Nrbp1	1	0.07674759504480919	0.025313549040621074	0.17677255070065168
Nsmce2	1	0.14621795027584256	0.00017340213646852834	0.004265875429313187
Ntmt1	1	0.010620154964932163	0.32949410834465653	0.5855336711152347
Parp16	1	-0.068433381092104	0.3489029858672159	0.5973897166518743
Pcsk9	1	0.0025490504392241434	0.3087932676991848	0.5712904025603821
Pde4c	1	-0.04967171640346145	0.5506459649239634	0.6874642956615039
Pgpep1	1	-0.07614631343357049	0.3894845453516419	0.6168859917810663
Phrf1	1	-0.023019395894166322	0.9620539977739893	0.7896602776474994
Pik3ca	1	0.0661102126484967	0.013342942546916953	0.12132992704443545
Pik3cb	1	-0.030112496968790283	0.9281815509839554	0.7848217497298456
Pik3r2	1	-0.07191675224907756	0.34770094480430064	0.5963975722537108
Pklr_1	1	-0.02288635537501534	0.8262122722867913	0.7647241376671158
Pklr_2	1	0.12124494808615456	0.0003078041836488585	0.006833526286246443
Pnpla2	1	-0.08380529774898961	0.2625103269511624	0.5397516515230362
Pnpla3	1	0.0002179883320043383	0.5752032313887994	0.6967467138073502
Ppara_1	1	-0.021635857881783075	0.7666680413557874	0.752050641980117
